f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
,,,,,,0.4949,0.4441,0.5587,0.7117,0.694,0.7363,0.881,0.889,0.8748,0.8748,999,3,binary,lstm,0.9286,0.9438,0.9138
,,,,,,0.1526,0.1089,0.2551,0.4811,0.4994,0.4989,0.7376,0.8043,0.6891,0.6891,999,3,binary,cnn_gaf,0.8097,0.89,0.7426
0.7744,0.6325,0.9983,0.0244,0.0168,0.0444,0.2834,0.999,0.1651,0.3607,0.5494,0.4026,0.5643,0.7797,0.6444,0.6444,999,4,multiclass,lr,,,
0.9624,0.9474,0.9779,0.7356,0.674,0.8097,0.9464,0.9706,0.9235,0.8815,0.864,0.9037,0.9539,0.9548,0.9539,0.9539,999,4,multiclass,rf,,,
0.9701,0.9559,0.9846,0.8395,0.7619,0.9348,0.9585,0.9816,0.9364,0.9227,0.8998,0.9519,0.9642,0.965,0.9642,0.9642,999,4,multiclass,xgb,,,
0.8123,0.7666,0.8639,0.0073,0.007,0.0075,0.7006,0.7762,0.6384,0.5067,0.5166,0.5033,0.7594,0.7644,0.7632,0.7632,999,4,multiclass,lstm,,,
0.6686,0.5954,0.7624,0.0289,0.0287,0.0292,0.3506,0.4625,0.2823,0.3494,0.3622,0.358,0.5313,0.5356,0.557,0.557,999,4,multiclass,cnn_gaf,,,
,,,,,,0.4724,0.9801,0.3112,0.6368,0.8252,0.6534,0.6646,0.799,0.7113,0.7113,999,4,binary,lr,0.8012,0.6704,0.9955
,,,,,,0.9273,0.9649,0.8925,0.9394,0.9462,0.9347,0.9415,0.943,0.9418,0.9418,999,4,binary,rf,0.9515,0.9275,0.9769
,,,,,,0.9639,0.975,0.953,0.9694,0.9711,0.9678,0.9703,0.9704,0.9703,0.9703,999,4,binary,xgb,0.9748,0.9672,0.9826
,,,,,,0.7389,0.7484,0.7297,0.7786,0.7798,0.7777,0.7854,0.7851,0.7858,0.7858,999,4,binary,lstm,0.8184,0.8113,0.8257
,,,,,,0.4278,0.4522,0.4058,0.5278,0.5293,0.5282,0.5447,0.5424,0.549,0.549,999,4,binary,cnn_gaf,0.6278,0.6065,0.6507
0.5704,0.5021,0.6601,0.2862,0.3914,0.2255,0.6207,0.5652,0.6883,0.4924,0.4862,0.5246,0.4766,0.4791,0.5015,0.5015,2026,1,multiclass,lr,,,
0.7847,0.9048,0.6928,0.7328,0.7217,0.7441,0.8019,0.738,0.8779,0.7731,0.7882,0.7716,0.7701,0.7823,0.7703,0.7703,2026,1,multiclass,rf,,,
0.8843,0.8888,0.8799,0.7797,0.8566,0.7155,0.7947,0.7248,0.8795,0.8196,0.8234,0.825,0.8161,0.8253,0.8164,0.8164,2026,1,multiclass,xgb,,,
0.5011,0.414,0.6347,0.5662,0.6823,0.4838,0.536,0.5868,0.4934,0.5344,0.561,0.5373,0.537,0.5712,0.5325,0.5325,2026,1,multiclass,lstm,,,
0.1544,0.2716,0.1078,0.5424,0.3904,0.8879,0.0099,0.4335,0.005,0.2355,0.3652,0.3336,0.2588,0.3678,0.3763,0.3763,2026,1,multiclass,cnn_gaf,,,
,,,,,,0.6632,0.594,0.7507,0.7399,0.7329,0.7592,0.7688,0.7853,0.7624,0.7624,2026,1,binary,lr,0.8165,0.8719,0.7678
,,,,,,0.8094,0.7674,0.8563,0.8578,0.8494,0.8694,0.8761,0.8803,0.8744,0.8744,2026,1,binary,rf,0.9063,0.9314,0.8825
,,,,,,0.7919,0.7202,0.8794,0.8409,0.8298,0.8624,0.8593,0.8711,0.856,0.856,2026,1,binary,xgb,0.8899,0.9394,0.8454
,,,,,,0.697,0.5867,0.8585,0.7542,0.7528,0.7924,0.7758,0.8155,0.7675,0.7675,2026,1,binary,lstm,0.8114,0.919,0.7263
,,,,,,0.0111,0.443,0.0056,0.413,0.566,0.5012,0.5644,0.6123,0.688,0.688,2026,1,binary,cnn_gaf,0.8148,0.689,0.9968
0.9162,0.966,0.8714,0.1146,0.0811,0.1955,0.7877,0.671,0.9535,0.6062,0.5727,0.6735,0.8788,0.9095,0.8588,0.8588,2026,2,multiclass,lr,,,
0.8919,0.9756,0.8214,0.1812,0.1094,0.5262,0.8682,0.7941,0.9574,0.6471,0.6264,0.7684,0.8677,0.931,0.8259,0.8259,2026,2,multiclass,rf,,,
0.942,0.9905,0.8981,0.4061,0.2681,0.8361,0.8964,0.8342,0.9686,0.7482,0.6976,0.9009,0.921,0.9527,0.9032,0.9032,2026,2,multiclass,xgb,,,
0.9116,0.9261,0.8976,0.0577,0.0504,0.0675,0.5362,0.4982,0.5803,0.5018,0.4916,0.5151,0.8481,0.8567,0.8406,0.8406,2026,2,multiclass,lstm,,,
0.4763,0.9185,0.3215,0.0657,0.0536,0.0847,0.2138,0.1233,0.8029,0.2519,0.3651,0.403,0.4376,0.8129,0.362,0.362,2026,2,multiclass,cnn_gaf,,,
,,,,,,0.6402,0.4789,0.9649,0.7884,0.7373,0.9246,0.9072,0.9443,0.8922,0.8922,2026,2,binary,lr,0.9366,0.9956,0.8842
,,,,,,0.8716,0.7915,0.9697,0.9278,0.8941,0.9707,0.9729,0.9762,0.9716,0.9716,2026,2,binary,rf,0.984,0.9966,0.9718
,,,,,,0.8958,0.8305,0.9722,0.9416,0.9137,0.9752,0.9783,0.9803,0.9775,0.9775,2026,2,binary,xgb,0.9874,0.9969,0.9781
,,,,,,0.5126,0.4533,0.5896,0.7248,0.7033,0.7556,0.8949,0.9035,0.8886,0.8886,2026,2,binary,lstm,0.9371,0.9532,0.9216
,,,,,,0.1974,0.1104,0.9317,0.2443,0.5342,0.5517,0.2818,0.8738,0.2472,0.2472,2026,2,binary,cnn_gaf,0.2911,0.958,0.1717
0.7994,0.6891,0.9518,0.5304,0.9278,0.3713,0.4921,0.3307,0.9614,0.6073,0.6492,0.7615,0.6152,0.7833,0.6282,0.6282,2026,3,multiclass,lr,,,
0.97,0.9727,0.9674,0.9651,0.9541,0.9764,0.8828,0.9333,0.8375,0.9393,0.9534,0.9271,0.9577,0.958,0.9582,0.9582,2026,3,multiclass,rf,,,
0.9794,0.9888,0.9702,0.9711,0.9518,0.9912,0.8896,0.9709,0.8208,0.9467,0.9705,0.9274,0.9649,0.9661,0.9656,0.9656,2026,3,multiclass,xgb,,,
0.2015,0.2285,0.1802,0.6019,0.5684,0.6396,0.5459,0.5462,0.5457,0.4498,0.4477,0.4552,0.4632,0.4535,0.4772,0.4772,2026,3,multiclass,lstm,,,
0.208,0.2327,0.1881,0.5581,0.6433,0.4928,0.1339,0.0911,0.2525,0.3,0.3224,0.3111,0.3957,0.4468,0.3656,0.3656,2026,3,multiclass,cnn_gaf,,,
,,,,,,0.4603,0.3008,0.9796,0.6479,0.6487,0.8495,0.7944,0.9202,0.748,0.748,2026,3,binary,lr,0.8356,0.9965,0.7194
,,,,,,0.8997,0.8871,0.9126,0.9436,0.9382,0.9492,0.9778,0.978,0.9777,0.9777,2026,3,binary,rf,0.9874,0.9892,0.9857
,,,,,,0.9031,0.9575,0.8546,0.9459,0.9699,0.9249,0.9794,0.9796,0.9799,0.9799,2026,3,binary,xgb,0.9888,0.9823,0.9953
,,,,,,0.4952,0.454,0.5446,0.713,0.6983,0.732,0.883,0.8889,0.8782,0.8782,2026,3,binary,lstm,0.9307,0.9425,0.9193
,,,,,,0.1348,0.0885,0.2824,0.4382,0.4837,0.462,0.675,0.7921,0.6021,0.6021,2026,3,binary,cnn_gaf,0.7416,0.8788,0.6415
0.7744,0.6325,0.9983,0.0244,0.0168,0.0444,0.2834,0.999,0.1651,0.3607,0.5494,0.4026,0.5643,0.7797,0.6444,0.6444,2026,4,multiclass,lr,,,
0.9658,0.9525,0.9794,0.7269,0.6764,0.7856,0.9516,0.9726,0.9315,0.8814,0.8672,0.8988,0.958,0.9586,0.9579,0.9579,2026,4,multiclass,rf,,,
0.971,0.9577,0.9847,0.8423,0.7701,0.9295,0.96,0.9816,0.9393,0.9244,0.9031,0.9511,0.9654,0.9661,0.9654,0.9654,2026,4,multiclass,xgb,,,
0.8149,0.757,0.8823,0.0061,0.0068,0.0055,0.6908,0.7916,0.6128,0.5039,0.5185,0.5002,0.7568,0.7653,0.7632,0.7632,2026,4,multiclass,lstm,,,
0.6577,0.6,0.7276,0.0229,0.0196,0.0277,0.3827,0.4659,0.3247,0.3544,0.3618,0.36,0.5383,0.5396,0.5545,0.5545,2026,4,multiclass,cnn_gaf,,,
,,,,,,0.4724,0.9801,0.3112,0.6368,0.8252,0.6534,0.6646,0.799,0.7113,0.7113,2026,4,binary,lr,0.8012,0.6704,0.9955
,,,,,,0.9288,0.9648,0.8953,0.9406,0.947,0.9361,0.9426,0.944,0.943,0.943,2026,4,binary,rf,0.9524,0.9293,0.9768
,,,,,,0.9643,0.9767,0.9523,0.9698,0.9717,0.9681,0.9707,0.9708,0.9707,0.9707,2026,4,binary,xgb,0.9752,0.9667,0.9839
,,,,,,0.7146,0.7582,0.6758,0.765,0.7722,0.7613,0.7735,0.7745,0.7758,0.7758,2026,4,binary,lstm,0.8154,0.7861,0.8469
,,,,,,0.4542,0.4615,0.4471,0.5383,0.5386,0.5382,0.5526,0.5516,0.5536,0.5536,2026,4,binary,cnn_gaf,0.6225,0.6157,0.6294
