f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
0.6544,0.5976,0.7232,0.0291,0.026,0.0332,0.3788,0.4589,0.3225,0.3541,0.3608,0.3596,0.5349,0.5353,0.5512,0.5512,42,4,multiclass,cnn_gaf,,,
,,,,,,0.4724,0.9801,0.3112,0.6368,0.8252,0.6534,0.6646,0.799,0.7113,0.7113,42,4,binary,lr,0.8012,0.6704,0.9955
,,,,,,0.9434,0.9651,0.9227,0.9524,0.9559,0.9495,0.9539,0.9544,0.954,0.954,42,4,binary,rf,0.9613,0.9467,0.9763
,,,,,,0.9642,0.9747,0.9538,0.9696,0.9712,0.9681,0.9705,0.9706,0.9705,0.9705,42,4,binary,xgb,0.975,0.9677,0.9824
,,,,,,0.7192,0.7649,0.6786,0.7691,0.7768,0.7652,0.7775,0.7788,0.7799,0.7799,42,4,binary,lstm,0.819,0.7886,0.8518
,,,,,,0.4496,0.4379,0.4619,0.5198,0.52,0.5203,0.5317,0.5339,0.5301,0.5301,42,4,binary,cnn_gaf,0.5901,0.6021,0.5786
0.5704,0.5021,0.6601,0.2862,0.3914,0.2255,0.6207,0.5652,0.6883,0.4924,0.4862,0.5246,0.4766,0.4791,0.5015,0.5015,100,1,multiclass,lr,,,
0.7802,0.9031,0.6867,0.7265,0.7153,0.738,0.7994,0.7345,0.877,0.7687,0.7843,0.7672,0.7655,0.7782,0.7657,0.7657,100,1,multiclass,rf,,,
0.8863,0.8928,0.8799,0.7768,0.8548,0.7119,0.7939,0.7221,0.8815,0.819,0.8232,0.8244,0.8153,0.825,0.8157,0.8157,100,1,multiclass,xgb,,,
0.496,0.4379,0.5717,0.5382,0.656,0.4563,0.5813,0.56,0.6043,0.5385,0.5513,0.5441,0.5388,0.56,0.5374,0.5374,100,1,multiclass,lstm,,,
0.0678,0.3351,0.0377,0.5556,0.3921,0.9533,0.0752,0.4367,0.0412,0.2329,0.388,0.3441,0.258,0.3887,0.3915,0.3915,100,1,multiclass,cnn_gaf,,,
